Date,Open,High,Low,Close,Adj Close,Volume
2021-07-29,6055.0,6085.0,5980.0,6040.0,57.626.474.609.375,84605000
2021-07-30,6040.0,6100.0,5960.0,5970.0,56.958.623.046.875,105685000
2021-08-02,6060.0,6065.0,5905.0,5960.0,56.863.212.890.625,119981500
2021-08-03,6025.0,6180.0,5985.0,6145.0,5.862.826.171.875,110071500
2021-08-04,6145.0,6150.0,6060.0,6120.0,58.389.736.328.125,41112000
2021-08-05,6170.0,6310.0,6140.0,6300.0,601.070.849.609.375,93768000
2021-08-06,6360.0,6360.0,6135.0,6160.0,58.771.376.953.125,67285000
2021-08-09,6135.0,6200.0,6105.0,6200.0,591.530.078.125,52858500
2021-08-10,6250.0,6300.0,6115.0,6300.0,601.070.849.609.375,60446000
2021-08-12,6120.0,6320.0,6120.0,6300.0,601.070.849.609.375,118325500
2021-08-13,6350.0,6435.0,6325.0,6410.0,611.565.771.484.375,86929000
2021-08-16,6420.0,6420.0,6305.0,6420.0,612.519.873.046.875,69282000
2021-08-18,6520.0,6760.0,6460.0,6600.0,629.693.310.546.875,186354500
2021-08-19,6600.0,6600.0,6530.0,6600.0,629.693.310.546.875,100926000
2021-08-20,6600.0,6600.0,6510.0,6600.0,629.693.310.546.875,120163500
2021-08-23,6515.0,6590.0,6515.0,6590.0,628.739.208.984.375,68253000
2021-08-24,6570.0,6600.0,6500.0,6600.0,629.693.310.546.875,59561500
2021-08-25,6600.0,6605.0,6585.0,6600.0,629.693.310.546.875,80751500
2021-08-26,6560.0,6580.0,6470.0,6560.0,625.876.953.125,74337000
2021-08-27,6490.0,6530.0,6490.0,6510.0,621.106.640.625,71572500
2021-08-30,6530.0,6580.0,6520.0,6565.0,62.635.400.390.625,74564500
2021-08-31,6520.0,6570.0,6515.0,6550.0,6.249.228.515.625,115373500
2021-09-01,6550.0,6600.0,6535.0,6565.0,62.635.400.390.625,67362500
2021-09-02,6525.0,6575.0,6455.0,6540.0,62.396.884.765.625,53257000
2021-09-03,6560.0,6600.0,6515.0,6600.0,629.693.310.546.875,35764500
2021-09-06,6600.0,6605.0,6550.0,6575.0,627.308.154.296.875,36780000
2021-09-07,6595.0,6605.0,6570.0,6570.0,6.268.310.546.875,53902000
2021-09-08,6550.0,6595.0,6420.0,6440.0,614.427.978.515.625,77888000
2021-09-09,6410.0,6570.0,6410.0,6570.0,6.268.310.546.875,110074000
2021-09-10,6495.0,6565.0,6495.0,6520.0,622.060.595.703.125,41483500
2021-09-13,6560.0,6560.0,6525.0,6555.0,625.399.951.171.875,29929000
2021-09-14,6590.0,6595.0,6495.0,6545.0,624.445.849.609.375,51990500
2021-09-15,6545.0,6550.0,6485.0,6495.0,619.675.439.453.125,44514000
2021-09-16,6580.0,6580.0,6480.0,6500.0,6.201.525.390.625,58672500
2021-09-17,6490.0,6535.0,6480.0,6520.0,622.060.595.703.125,117540000
2021-09-20,6570.0,6590.0,6510.0,6585.0,628.262.158.203.125,73157500
2021-09-21,6510.0,6535.0,6470.0,6490.0,619.198.388.671.875,57115500
2021-09-22,6500.0,6580.0,6500.0,6555.0,625.399.951.171.875,68722000
2021-09-23,6555.0,6590.0,6545.0,6580.0,62.778.515.625,60998500
2021-09-24,6500.0,6585.0,6500.0,6585.0,628.262.158.203.125,60539500
2021-09-27,6585.0,6595.0,6555.0,6580.0,62.778.515.625,55052500
2021-09-28,6540.0,6560.0,6500.0,6520.0,622.060.595.703.125,80186000
2021-09-29,6520.0,6580.0,6515.0,6580.0,62.778.515.625,74079000
2021-09-30,6600.0,7000.0,6595.0,7000.0,66.785.654.296.875,156848000
2021-10-01,6900.0,6900.0,6710.0,6760.0,644.958.642.578.125,103954500
2021-10-04,6740.0,6960.0,6740.0,6960.0,664.040.185.546.875,74719000
2021-10-05,6910.0,6945.0,6860.0,6945.0,66.260.908.203.125,54986500
2021-10-06,6980.0,7180.0,6970.0,7180.0,68.502.998.046.875,174312000
2021-10-07,7175.0,7175.0,7080.0,7160.0,68.312.177.734.375,107263500
2021-10-08,7200.0,7300.0,7175.0,7290.0,69.552.490.234.375,94643500
2021-10-11,7240.0,7290.0,7230.0,7255.0,692.185.595.703.125,47201000
2021-10-12,7255.0,7320.0,7245.0,7320.0,698.387.109.375,91067000
2021-10-13,7400.0,8250.0,7400.0,7525.0,717.945.751.953.125,210893300
2021-10-14,7600.0,7900.0,7600.0,7750.0,73.941.259.765.625,138811900
2021-10-15,7800.0,7875.0,7450.0,7650.0,729.871.826.171.875,142378200
2021-10-18,7650.0,7675.0,7475.0,7525.0,717.945.751.953.125,116644300
